total_area,mean_deltaT,morris_row_index,identifier,Class
19.899074405544173,2.1123985642591085,1,19,NT
0,0,1,20,T
6423.377863696369,3.339159961364226,1,21,T
0,0,1,22,T
600.3008416316791,1.9297326974194389,1,23,T
0,0,1,24,T
5.286541913526939,3.322351440974646,10,19,NT
0,0,10,20,T
2149.2943469076554,2.864061319646888,10,21,T
0,0,10,22,T
5228.928548624833,3.6110953470256213,10,23,T
0,0,10,24,T
4.212694027131469,3.494603640534567,100,19,NT
0,0,100,20,T
539.6618977409107,5.513497758244851,100,21,T
0,0,100,22,T
0,0,100,23,T
0,0,100,24,T
30.944865578415406,1.9832458038216563,101,19,NT
0,0,101,20,T
1819.5941476964047,1.7095700060730514,101,21,T
0,0,101,22,T
600.3008416317444,1.929732697419439,101,23,T
0,0,101,24,T
4.212694027131469,3.494603640534567,102,19,NT
0,0,102,20,T
539.6618977409107,5.513497758244851,102,21,T
0,0,102,22,T
0,0,102,23,T
0,0,102,24,T
4.21269402694201,3.494603640534567,103,19,NT
0,0,103,20,T
539.6618977409107,5.513497758244851,103,21,T
0,0,103,22,T
0,0,103,23,T
0,0,103,24,T
3.309690203056061,3.2353713024577404,104,19,NT
0,0,104,20,T
4355.832406428945,3.8838803399261312,104,21,T
0,0,104,22,T
4495.572108711453,3.429256412726613,104,23,T
0,0,104,24,T
6.361128651572955,3.178141533406155,105,19,NT
0,0,105,20,T
5734.675189020325,3.4546045565822445,105,21,T
0,0,105,22,T
199.09692000142942,2.042558366691719,105,23,T
0,0,105,24,T
2019.8901338037078,0.5376442613037898,106,19,NT
187.61122736530768,0.931259821335193,106,20,T
7578.67312861864,3.124232152044406,106,21,T
5091.774863346475,1.015833311022056,106,22,T
736.4603389469441,1.8993997001360263,106,23,T
5897.486278093166,0.664319568446349,106,24,T
910.5042856166812,0.624097536565285,107,19,NT
186.32587901156728,0.832489529185214,107,20,T
4584.534152609951,1.5924284827324808,107,21,T
2523.8010904562893,0.8017962942465312,107,22,T
4227.680378141842,3.8458982105712063,107,23,T
6572.680768700276,1.048830035680862,107,24,T
910.5042856526178,0.6240975365661182,108,19,NT
186.32587900988327,0.832489529185214,108,20,T
4584.534152617192,1.5924284827308781,108,21,T
2523.8010904859875,0.8017962942466769,108,22,T
4227.680378139905,3.845898210572663,108,23,T
6572.680768699864,1.048830035680862,108,24,T
2019.8901338037078,0.5376442613037898,109,19,NT
187.61122736530768,0.931259821335193,109,20,T
7578.67312861864,3.124232152044406,109,21,T
5091.774863346475,1.015833311022056,109,22,T
736.4603389469441,1.8993997001360263,109,23,T
5897.486278093166,0.664319568446349,109,24,T
5.286541913526939,3.322351440974646,11,19,NT
0,0,11,20,T
2149.2943469076554,2.864061319646888,11,21,T
0,0,11,22,T
5228.928548624833,3.6110953470256213,11,23,T
0,0,11,24,T
910.5042856526178,0.6240975365661182,110,19,NT
186.32587900988327,0.832489529185214,110,20,T
4584.534152617192,1.5924284827308781,110,21,T
2523.8010904859875,0.8017962942466769,110,22,T
4227.680378139905,3.845898210572663,110,23,T
6572.680768699864,1.048830035680862,110,24,T
910.504285613579,0.6240975365656216,111,19,NT
186.32587900988327,0.832489529185214,111,20,T
4883.7346059760985,1.6715977632085055,111,21,T
2523.801090456494,0.8017962942465322,111,22,T
4227.680378139552,3.845898210572928,111,23,T
6572.680768700552,1.048830035680862,111,24,T
6.189268660092395,3.1184137598229,112,19,NT
0,0,112,20,T
1181.1523184641064,2.837278674155751,112,21,T
0,0,112,22,T
3787.2720577153896,4.143497819925425,112,23,T
0,0,112,24,T
2019.8901338399417,0.5376442613037654,113,19,NT
197.7957788118559,1.012289074698842,113,20,T
6140.484397354218,2.1890619741573505,113,21,T
4480.674421026638,0.7139826038596883,113,22,T
5608.810379027544,3.6003027311493025,113,23,T
6126.316389634902,0.7591255711595329,113,24,T
2019.8901338399417,0.5376442613037654,114,19,NT
197.7957788118559,1.012289074698842,114,20,T
6140.484397354218,2.1890619741573505,114,21,T
4480.674421026638,0.7139826038596883,114,22,T
5608.810379027544,3.6003027311493025,114,23,T
6126.316389634902,0.7591255711595329,114,24,T
6.361128651518328,3.178141533406155,115,19,NT
0,0,115,20,T
3329.4360043030215,2.6561617502430885,115,21,T
0,0,115,22,T
5437.734745614332,3.605399103070944,115,23,T
0,0,115,24,T
6.060188956385147,3.024119567885691,116,19,NT
0,0,116,20,T
2912.6486531334776,5.552626677235885,116,21,T
0,0,116,22,T
436.3598001025456,2.067110452439394,116,23,T
0,0,116,24,T
2019.8901338037078,0.5376442613037898,117,19,NT
187.61122736530768,0.931259821335193,117,20,T
7578.67312861864,3.124232152044406,117,21,T
5091.774863346475,1.015833311022056,117,22,T
736.4603389469441,1.8993997001360263,117,23,T
5897.486278093166,0.664319568446349,117,24,T
910.504285613579,0.6240975365656216,118,19,NT
186.32587900988327,0.832489529185214,118,20,T
4883.7346059760985,1.6715977632085055,118,21,T
2523.801090456494,0.8017962942465322,118,22,T
4227.680378139552,3.845898210572928,118,23,T
6572.680768700552,1.048830035680862,118,24,T
6.189268660092395,3.1184137598229,119,19,NT
0,0,119,20,T
1181.1523184641064,2.837278674155751,119,21,T
0,0,119,22,T
3787.2720577153896,4.143497819925425,119,23,T
0,0,119,24,T
4.685216648872988,3.183478310329349,12,19,NT
0,0,12,20,T
2548.5324182314707,5.486805231800098,12,21,T
0,0,12,22,T
0,0,12,23,T
0,0,12,24,T
6.189268660092395,3.1184137598229,120,19,NT
0,0,120,20,T
1181.1523184641064,2.837278674155751,120,21,T
0,0,120,22,T
3787.2720577153896,4.143497819925425,120,23,T
0,0,120,24,T
5.630538970704997,3.352447293697114,121,19,NT
0,0,121,20,T
565.5260882007864,5.463832250814875,121,21,T
0,0,121,22,T
0,0,121,23,T
0,0,121,24,T
252.56551126903364,1.0722396063531638,122,19,NT
