xmin,ymin,xmax,ymax
2637780.173458198,1183648.0932409798,2637794.5490766475,1183655.644252043
2637120.255229253,1183896.4272032164,2637149.148115533,1183911.6036288233
2634189.5136561682,1184901.5454668195,2634202.1979862982,1184908.2081031075
2633511.901214848,1184895.7531136447,2633579.260199133,1184931.1344391392
2632647.160364982,1185328.238618721,2632692.817197693,1185352.2205607935
2630764.06416868,1185647.5448436516,2630833.742517837,1185684.1444506322
2629180.8787479335,1186816.4833065292,2629266.675534458,1186861.549366575
2628262.461378581,1189946.9161170903,2628313.99713674,1189973.9860536903
2627875.1825342914,1191178.802171118,2627898.985789296,1191191.3051909022
2626556.016905354,1191877.7065868266,2627229.909150481,1192515.8707195313
2626285.5961959423,1193145.9845626089,2626358.3628782807,1193214.8933340928
2623598.6073787496,1195972.4045302267,2623733.82765778,1196100.4557620303
2623598.9844084424,1196713.9224097661,2623724.622428989,1196832.899410906
2623358.118491151,1199809.0003612586,2624121.790679638,1200711.6405004058
2623352.617689117,1201969.184285955,2623553.0816385956,1202206.127322482
2622668.8265680824,1202604.404393894,2622989.982439539,1202984.0020601042
2621366.149488656,1205052.242488753,2621517.146475413,1205230.7168959554
2616624.0939820153,1207050.14672321,2616852.3873020755,1207196.738424152
2611010.9848627625,1214485.6950083766,2611168.393545483,1214586.7702677704
2607898.386474087,1220145.9813426682,2608359.743833879,1220873.506410032721
2607804.5425894884,1220981.6995256166,2608338.621403119,1221823.9007317263
2607922.8091177493,1222903.6544155949,2608635.988656282,1223579.022925859
2608970.9366423325,1224234.9387011477,2609690.575746697,1224612.9400273329
2631870.106211644,1185647.1037489737,2632025.7510939804,1185728.8585779986
