total_area,total_averaged_temperature,morris_row_index,location
5575.470648651888,19.647262573242188,1,limpbach
5415.305365399561,16.416750617418145,1,grundbach
249.59991014065736,18.249923867831665,1,hasle
1101.492787373973,20.127795576843962,1,emmepark
658.2155355012912,17.749969482421875,10,limpbach
3075.11889653947,16.073237880461928,10,grundbach
249.59991014224394,18.249923867838376,10,hasle
1359.0827280063402,20.48800350567752,10,emmepark
672.0937841096811,17.76752281188965,100,limpbach
2912.868471876387,16.04998338785768,100,grundbach
249.59991014065736,18.249923867831665,100,hasle
1359.0827280061353,20.488003505677458,100,emmepark
672.0937841103427,17.76752281188965,101,limpbach
3075.1188965393885,16.073237880461928,101,grundbach
249.59991014376698,18.249923867839886,101,hasle
1359.0827279989187,20.488003505669443,101,emmepark
5559.146718313266,19.639619827270508,102,limpbach
7250.119787609978,16.893737336248037,102,grundbach
249.59991014024027,18.249923867831416,102,hasle
1260.2193453868604,20.380877437275114,102,emmepark
684.6820667717211,17.784666061401367,103,limpbach
4343.1567026398625,16.52200026719724,103,grundbach
249.59991014252,18.249923867838532,103,hasle
1140.5117458324296,20.185664302836255,103,emmepark
684.6820667712211,17.784666061401367,104,limpbach
4568.717401208703,16.530666929009882,104,grundbach
249.59991014266103,18.24992386783862,104,hasle
1140.5117458324296,20.185664302836255,104,emmepark
5575.470648651888,19.647262573242188,105,limpbach
5415.305365399561,16.416750617418145,105,grundbach
249.59991014065736,18.249923867831665,105,hasle
1101.492787373973,20.127795576843962,105,emmepark
5575.470648651888,19.647262573242188,106,limpbach
5415.305365399561,16.416750617418145,106,grundbach
249.59991014065736,18.249923867831665,106,hasle
1101.492787373973,20.127795576843962,106,emmepark
5575.470648651888,19.647262573242188,107,limpbach
5415.305365399561,16.416750617418145,107,grundbach
249.59991014065736,18.249923867831665,107,hasle
1101.492787373973,20.127795576843962,107,emmepark
684.6820667712211,17.784666061401367,108,limpbach
4568.717401208703,16.530666929009882,108,grundbach
249.59991014266103,18.24992386783862,108,hasle
1140.5117458324296,20.185664302836255,108,emmepark
684.6820667712211,17.784666061401367,109,limpbach
4568.717401208703,16.530666929009882,109,grundbach
249.59991014266103,18.24992386783862,109,hasle
1140.5117458324296,20.185664302836255,109,emmepark
5559.146718313266,19.639619827270508,11,limpbach
7250.119787609978,16.893737336248037,11,grundbach
249.59991014024027,18.249923867831416,11,hasle
