Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
74	:	1776628115.268	  2474.344	0	52314	0	0	Rscript run_model.R 74 2 400
77	:	1776628185.619	  2406.578	0	46244	0	0	Rscript run_model.R 77 3 720
79	:	1776628199.454	  2407.487	0	41060	0	0	Rscript run_model.R 79 5 1200
80	:	1776628277.501	  2358.898	0	42351	0	0	Rscript run_model.R 80 2 1200
78	:	1776628190.745	  2453.087	0	47539	0	0	Rscript run_model.R 78 6 720
81	:	1776630501.493	  1842.253	0	44933	0	0	Rscript run_model.R 81 2 720
82	:	1776630524.900	  1846.050	0	41246	0	0	Rscript run_model.R 82 3 880
85	:	1776630571.881	  1841.875	0	44933	0	0	Rscript run_model.R 85 2 720
87	:	1776630592.206	  1821.554	0	41059	0	0	Rscript run_model.R 87 5 1200
86	:	1776630589.620	  1836.885	0	42351	0	0	Rscript run_model.R 86 2 1200
88	:	1776630606.950	  1848.904	0	41247	0	0	Rscript run_model.R 88 2 880
83	:	1776630556.211	  1902.403	0	47818	0	0	Rscript run_model.R 83 3 400
84	:	1776630570.854	  1921.667	0	50382	0	0	Rscript run_model.R 84 6 400
89	:	1776630636.406	  1868.111	0	52313	0	0	Rscript run_model.R 89 2 400
90	:	1776630643.841	  1893.799	0	50383	0	0	Rscript run_model.R 90 5 400
94	:	1776632414.182	  1818.325	0	40448	0	0	Rscript run_model.R 94 7 1040
93	:	1776632413.770	  1842.891	0	41247	0	0	Rscript run_model.R 93 4 880
95	:	1776632426.514	  1832.325	0	40448	0	0	Rscript run_model.R 95 4 1040
91	:	1776632343.777	  1928.473	0	50383	0	0	Rscript run_model.R 91 7 400
92	:	1776632370.961	  1919.966	0	50383	0	0	Rscript run_model.R 92 4 400
96	:	1776632455.864	  1853.799	0	46853	0	0	Rscript run_model.R 96 4 560
98	:	1776632492.532	  1820.073	0	46244	0	0	Rscript run_model.R 98 4 720
99	:	1776632504.526	  1823.885	0	41060	0	0	Rscript run_model.R 99 4 1200
97	:	1776632458.622	  1879.186	0	45613	0	0	Rscript run_model.R 97 7 720
100	:	1776632537.648	  1811.990	0	44932	0	0	Rscript run_model.R 100 2 720
102	:	1776634256.670	  1829.745	0	41059	0	0	Rscript run_model.R 102 5 1200
101	:	1776634232.537	  1876.134	0	45609	0	0	Rscript run_model.R 101 5 720
106	:	1776634309.673	  1844.724	0	41247	0	0	Rscript run_model.R 106 3 880
105	:	1776634290.936	  1868.311	0	41247	0	0	Rscript run_model.R 105 6 880
104	:	1776634272.260	  1896.428	0	50383	0	0	Rscript run_model.R 104 6 400
107	:	1776634312.617	  1864.105	0	41247	0	0	Rscript run_model.R 107 6 880
103	:	1776634258.848	  1921.332	0	47818	0	0	Rscript run_model.R 103 3 400
108	:	1776634328.421	  1906.425	0	50383	0	0	Rscript run_model.R 108 6 400
109	:	1776634337.815	  1900.438	0	50383	0	0	Rscript run_model.R 109 6 400
110	:	1776634349.648	  1888.618	0	47818	0	0	Rscript run_model.R 110 3 400
111	:	1776636086.437	  1855.343	0	41247	0	0	Rscript run_model.R 111 3 880
112	:	1776636108.682	  1886.240	0	41246	0	0	Rscript run_model.R 112 5 880
