Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
7	:	1781167655.206	    11.960	0	0	0	0	Rscript run_model.R 7 5 1040 0.5
8	:	1781167655.208	    11.963	0	0	0	0	Rscript run_model.R 8 5 560 0.5
10	:	1781167655.212	    11.962	0	0	0	0	Rscript run_model.R 10 7 880 2.5
4	:	1781167655.199	    12.020	0	0	0	0	Rscript run_model.R 4 4 560 3
9	:	1781167655.210	    12.022	0	0	0	0	Rscript run_model.R 9 7 880 1
5	:	1781167655.202	    12.078	0	0	0	0	Rscript run_model.R 5 2 1040 2
3	:	1781167655.197	    12.104	0	0	0	0	Rscript run_model.R 3 4 560 1.5
2	:	1781167655.195	    12.120	0	0	0	0	Rscript run_model.R 2 7 560 1.5
6	:	1781167655.204	    12.112	0	0	0	0	Rscript run_model.R 6 2 1040 0.5
1	:	1781167655.193	    12.227	0	0	0	0	Rscript run_model.R 1 7 1040 1.5
11	:	1781167667.181	    11.453	0	0	0	0	Rscript run_model.R 11 4 880 2.5
13	:	1781167667.224	    11.413	0	0	0	0	Rscript run_model.R 13 4 880 2
14	:	1781167667.231	    11.409	0	0	0	0	Rscript run_model.R 14 4 400 2
12	:	1781167667.219	    11.422	0	0	0	0	Rscript run_model.R 12 4 400 2.5
15	:	1781167667.236	    11.408	0	0	0	0	Rscript run_model.R 15 4 400 0.5
16	:	1781167667.286	    11.361	0	0	0	0	Rscript run_model.R 16 7 400 0.5
17	:	1781167667.307	    11.345	0	0	0	0	Rscript run_model.R 17 2 1200 2
19	:	1781167667.327	    11.328	0	0	0	0	Rscript run_model.R 19 5 1200 0.5
20	:	1781167667.427	    11.230	0	0	0	0	Rscript run_model.R 20 5 720 0.5
18	:	1781167667.324	    11.433	0	0	0	0	Rscript run_model.R 18 2 1200 0.5
22	:	1781167678.757	    11.401	0	0	0	0	Rscript run_model.R 22 7 1040 1
23	:	1781167678.763	    11.400	0	0	0	0	Rscript run_model.R 23 7 560 1
24	:	1781167678.799	    11.366	0	0	0	0	Rscript run_model.R 24 7 560 2.5
25	:	1781167678.821	    11.346	0	0	0	0	Rscript run_model.R 25 6 720 1
28	:	1781167678.853	    11.317	0	0	0	0	Rscript run_model.R 28 3 1200 2.5
29	:	1781167678.858	    11.313	0	0	0	0	Rscript run_model.R 29 3 1040 2
30	:	1781167678.863	    11.312	0	0	0	0	Rscript run_model.R 30 6 1040 2
27	:	1781167678.846	    11.516	0	0	0	0	Rscript run_model.R 27 3 1200 1
21	:	1781167678.664	    11.799	0	0	0	0	Rscript run_model.R 21 4 1040 1
26	:	1781167678.837	    11.836	0	0	0	0	Rscript run_model.R 26 6 1200 1
31	:	1781167690.180	    10.751	0	0	0	0	Rscript run_model.R 31 6 1040 0.5
38	:	1781167690.448	    10.495	0	0	0	0	Rscript run_model.R 38 6 1200 1.5
37	:	1781167690.438	    10.518	0	0	0	0	Rscript run_model.R 37 6 1200 3
35	:	1781167690.404	    10.567	0	0	0	0	Rscript run_model.R 35 3 1200 1.5
36	:	1781167690.424	    10.555	0	0	0	0	Rscript run_model.R 36 3 720 1.5
34	:	1781167690.368	    10.756	0	0	0	0	Rscript run_model.R 34 3 1200 3
39	:	1781167690.470	    10.677	0	0	0	0	Rscript run_model.R 39 6 720 1.5
33	:	1781167690.362	    10.898	0	0	0	0	Rscript run_model.R 33 6 1200 3
32	:	1781167690.184	    11.092	0	0	0	0	Rscript run_model.R 32 6 560 0.5
40	:	1781167690.686	    10.838	0	0	0	0	Rscript run_model.R 40 3 720 1.5
49	:	1781167701.289	    10.328	0	0	0	0	Rscript run_model.R 49 7 1040 0.5
44	:	1781167700.979	    10.659	0	0	0	0	Rscript run_model.R 44 5 560 3
45	:	1781167700.986	    10.654	0	0	0	0	Rscript run_model.R 45 3 1200 1
43	:	1781167700.961	    10.686	0	0	0	0	Rscript run_model.R 43 5 1040 3
48	:	1781167701.267	    10.394	0	0	0	0	Rscript run_model.R 48 6 720 2.5
42	:	1781167700.948	    10.804	0	0	0	0	Rscript run_model.R 42 2 1040 3
41	:	1781167700.938	    10.825	0	0	0	0	Rscript run_model.R 41 2 1040 1.5
47	:	1781167701.151	    10.614	0	0	0	0	Rscript run_model.R 47 6 1200 2.5
46	:	1781167701.130	    10.859	0	0	0	0	Rscript run_model.R 46 6 1200 1
50	:	1781167701.532	    10.953	0	0	0	0	Rscript run_model.R 50 7 1040 2
52	:	1781167711.647	     9.883	0	0	1	0	Rscript run_model.R 52 4 560 2
53	:	1781167711.651	    10.000	0	0	0	0	Rscript run_model.R 53 5 560 2
58	:	1781167711.776	    10.167	0	0	0	0	Rscript run_model.R 58 3 880 2
57	:	1781167711.772	    10.217	0	0	0	0	Rscript run_model.R 57 6 880 2
54	:	1781167711.662	    10.500	0	0	0	0	Rscript run_model.R 54 2 560 2
51	:	1781167711.624	    10.615	0	0	0	0	Rscript run_model.R 51 4 1040 2
55	:	1781167711.666	    10.585	0	0	0	0	Rscript run_model.R 55 2 1040 2
