Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
230	:	1781182387.643	  2471.035	0	39781	0	0	Rscript run_model.R 230 4 400 0.5
231	:	1781182473.001	  2477.687	0	39781	0	0	Rscript run_model.R 231 4 400 2
233	:	1781182537.759	  2459.674	0	32101	0	0	Rscript run_model.R 233 3 720 2
232	:	1781182530.606	  2487.266	0	39781	0	0	Rscript run_model.R 232 7 400 2
234	:	1781182640.503	  2448.387	0	32101	0	0	Rscript run_model.R 234 6 720 2
235	:	1781182684.632	  2448.283	0	32101	0	0	Rscript run_model.R 235 6 720 0.5
237	:	1781182726.671	  2468.096	0	38181	0	0	Rscript run_model.R 237 4 560 1
236	:	1781182708.772	  2486.156	0	33061	0	0	Rscript run_model.R 236 6 1200 0.5
239	:	1781182750.581	  2467.316	0	33701	0	0	Rscript run_model.R 239 4 1040 2.5
238	:	1781182750.331	  2469.921	0	33701	0	0	Rscript run_model.R 238 4 1040 1
240	:	1781184858.692	  2506.335	0	33701	0	0	Rscript run_model.R 240 7 1040 2.5
241	:	1781184950.703	  2538.062	0	39781	0	0	Rscript run_model.R 241 4 400 2
242	:	1781184997.448	  2515.312	0	32901	0	0	Rscript run_model.R 242 4 880 2
243	:	1781185017.888	  2538.654	0	32901	0	0	Rscript run_model.R 243 7 880 2
244	:	1781185088.902	  2521.667	0	32901	0	0	Rscript run_model.R 244 7 880 0.5
245	:	1781185132.928	  2544.434	0	33061	0	0	Rscript run_model.R 245 4 1200 2
250	:	1781187365.230	   313.244	0	5221	1	0	Rscript run_model.R 250 2 1040 3
247	:	1781185194.938	  2525.433	0	33061	0	0	Rscript run_model.R 247 7 1200 0.5
246	:	1781185194.781	  2538.137	0	33061	0	0	Rscript run_model.R 246 7 1200 2
248	:	1781185217.910	  2532.424	0	32101	0	0	Rscript run_model.R 248 7 720 0.5
249	:	1781185220.265	  2540.661	0	33701	0	0	Rscript run_model.R 249 2 1040 1.5
