Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
9	:	1780229742.995	   313.479	0	19129	0	0	Rscript run_model.R 9 7 720
3	:	1780229742.983	   313.685	0	21197	0	0	Rscript run_model.R 3 4 400
10	:	1780229742.997	   314.959	0	19129	0	0	Rscript run_model.R 10 7 720
2	:	1780229742.981	   315.453	0	17677	0	0	Rscript run_model.R 2 4 880
8	:	1780229742.993	   316.421	0	19129	0	0	Rscript run_model.R 8 4 720
1	:	1780229742.979	   317.296	0	17689	0	0	Rscript run_model.R 1 7 880
6	:	1780229742.989	   317.347	0	17997	0	0	Rscript run_model.R 6 3 1200
4	:	1780229742.985	   317.600	0	19129	0	0	Rscript run_model.R 4 6 720
5	:	1780229742.987	   317.986	0	17997	0	0	Rscript run_model.R 5 6 1200
7	:	1780229742.991	   318.729	0	17997	0	0	Rscript run_model.R 7 4 1200
13	:	1780230057.968	   318.386	0	19117	0	0	Rscript run_model.R 13 4 720
12	:	1780230056.679	   320.753	0	17997	0	0	Rscript run_model.R 12 4 1200
18	:	1780230060.596	   317.335	0	19129	0	0	Rscript run_model.R 18 7 720
19	:	1780230060.983	   317.249	0	18809	0	0	Rscript run_model.R 19 5 560
17	:	1780230060.346	   318.460	0	17997	0	0	Rscript run_model.R 17 7 1200
20	:	1780230061.730	   317.634	0	18809	0	0	Rscript run_model.R 20 2 560
11	:	1780230056.485	   322.982	0	17997	0	0	Rscript run_model.R 11 7 1200
14	:	1780230058.447	   322.230	0	17997	0	0	Rscript run_model.R 14 4 1200
16	:	1780230060.286	   321.012	0	18009	0	0	Rscript run_model.R 16 4 1200
15	:	1780230059.426	   322.061	0	18009	0	0	Rscript run_model.R 15 7 1200
21	:	1780230376.364	   314.056	0	15449	0	0	Rscript run_model.R 21 2 1040
24	:	1780230378.246	   312.461	0	18797	0	0	Rscript run_model.R 24 5 560
23	:	1780230377.940	   314.057	0	18797	0	0	Rscript run_model.R 23 2 560
25	:	1780230378.816	   314.552	0	15449	0	0	Rscript run_model.R 25 5 1040
27	:	1780230379.476	   314.799	0	18797	0	0	Rscript run_model.R 27 2 560
26	:	1780230379.390	   315.111	0	18797	0	0	Rscript run_model.R 26 5 560
28	:	1780230380.689	   314.170	0	17677	0	0	Rscript run_model.R 28 6 880
30	:	1780230381.498	   313.712	0	21197	0	0	Rscript run_model.R 30 3 400
22	:	1780230377.441	   325.217	0	15461	0	0	Rscript run_model.R 22 2 1040
29	:	1780230381.313	   325.065	0	17677	0	0	Rscript run_model.R 29 3 880
33	:	1780230692.224	   316.023	0	21221	0	0	Rscript run_model.R 33 5 400
32	:	1780230690.720	   319.690	0	17701	0	0	Rscript run_model.R 32 5 880
31	:	1780230690.430	   321.049	0	17701	0	0	Rscript run_model.R 31 2 880
34	:	1780230693.410	   319.224	0	15461	0	0	Rscript run_model.R 34 3 1040
35	:	1780230694.284	   318.971	0	15437	0	0	Rscript run_model.R 35 6 1040
36	:	1780230694.512	   319.190	0	18821	0	0	Rscript run_model.R 36 6 560
38	:	1780230695.220	   319.517	0	19141	0	0	Rscript run_model.R 38 6 720
37	:	1780230694.887	   320.077	0	19141	0	0	Rscript run_model.R 37 3 720
40	:	1780230706.388	   314.992	0	18797	0	0	Rscript run_model.R 40 5 560
39	:	1780230702.667	   319.756	0	18009	0	0	Rscript run_model.R 39 6 1200
41	:	1780231008.259	   319.254	0	15449	0	0	Rscript run_model.R 41 5 1040
42	:	1780231010.425	   321.226	0	15461	0	0	Rscript run_model.R 42 2 1040
43	:	1780231011.490	   320.898	0	15461	0	0	Rscript run_model.R 43 5 1040
47	:	1780231014.749	   317.642	0	21221	0	0	Rscript run_model.R 47 7 400
45	:	1780231013.272	   319.453	0	18821	0	0	Rscript run_model.R 45 2 560
44	:	1780231012.644	   320.536	0	15461	0	0	Rscript run_model.R 44 2 1040
48	:	1780231014.974	   319.273	0	21221	0	0	Rscript run_model.R 48 4 400
46	:	1780231013.714	   321.186	0	17701	0	0	Rscript run_model.R 46 7 880
49	:	1780231021.389	   318.444	0	15461	0	0	Rscript run_model.R 49 2 1040
50	:	1780231022.432	   318.775	0	15449	0	0	Rscript run_model.R 50 5 1040
51	:	1780231327.525	   313.707	0	18809	0	0	Rscript run_model.R 51 5 560
54	:	1780231332.455	   315.414	0	19141	0	0	Rscript run_model.R 54 4 720
53	:	1780231332.401	   315.878	0	19141	0	0	Rscript run_model.R 53 7 720
56	:	1780231333.189	   316.544	0	19141	0	0	Rscript run_model.R 56 7 720
52	:	1780231331.662	   318.515	0	18021	0	0	Rscript run_model.R 52 7 1200
55	:	1780231332.737	   317.446	0	19141	0	0	Rscript run_model.R 55 4 720
57	:	1780231334.259	   320.618	0	18021	0	0	Rscript run_model.R 57 7 1200
59	:	1780231339.841	   316.583	0	15449	0	0	Rscript run_model.R 59 3 1040
60	:	1780231341.214	   315.993	0	18821	0	0	Rscript run_model.R 60 3 560
58	:	1780231334.926	   337.640	0	15461	0	0	Rscript run_model.R 58 6 1040
61	:	1780231641.245	   323.390	0	18021	0	0	Rscript run_model.R 61 2 1200
62	:	1780231647.879	   321.700	0	19141	0	0	Rscript run_model.R 62 2 720
63	:	1780231648.289	   321.605	0	19141	0	0	Rscript run_model.R 63 5 720
64	:	1780231649.743	   322.846	0	18821	0	0	Rscript run_model.R 64 2 560
66	:	1780231650.217	   323.589	0	15461	0	0	Rscript run_model.R 66 5 1040
65	:	1780231650.193	   324.414	0	15461	0	0	Rscript run_model.R 65 2 1040
67	:	1780231654.888	   323.022	0	18821	0	0	Rscript run_model.R 67 4 560
68	:	1780231656.433	   322.837	0	18821	0	0	Rscript run_model.R 68 7 560
69	:	1780231657.216	   322.059	0	15449	0	0	Rscript run_model.R 69 7 1040
70	:	1780231672.578	   319.862	0	18821	0	0	Rscript run_model.R 70 4 560
73	:	1780231969.906	   313.225	0	21209	0	0	Rscript run_model.R 73 5 400
71	:	1780231964.647	   319.122	0	15461	0	0	Rscript run_model.R 71 4 1040
72	:	1780231969.591	   316.031	0	15449	0	0	Rscript run_model.R 72 7 1040
74	:	1780231972.600	   317.598	0	21221	0	0	Rscript run_model.R 74 2 400
75	:	1780231973.816	   317.068	0	17701	0	0	Rscript run_model.R 75 2 880
77	:	1780231977.921	   315.405	0	19141	0	0	Rscript run_model.R 77 3 720
78	:	1780231979.283	   318.121	0	19141	0	0	Rscript run_model.R 78 6 720
79	:	1780231979.333	   321.423	0	18009	0	0	Rscript run_model.R 79 5 1200
76	:	1780231974.617	   340.293	0	18021	0	0	Rscript run_model.R 76 3 1200
80	:	1780231992.452	   324.104	0	18021	0	0	Rscript run_model.R 80 2 1200
81	:	1780232283.339	   318.995	0	19141	0	0	Rscript run_model.R 81 2 720
82	:	1780232283.781	   318.560	0	17701	0	0	Rscript run_model.R 82 3 880
83	:	1780232285.633	   316.713	0	21221	0	0	Rscript run_model.R 83 3 400
84	:	1780232290.208	   315.766	0	21221	0	0	Rscript run_model.R 84 6 400
85	:	1780232290.894	   316.595	0	19141	0	0	Rscript run_model.R 85 2 720
86	:	1780232293.337	   320.018	0	18021	0	0	Rscript run_model.R 86 2 1200
88	:	1780232300.765	   314.862	0	17701	0	0	Rscript run_model.R 88 2 880
87	:	1780232297.414	   320.869	0	18021	0	0	Rscript run_model.R 87 5 1200
89	:	1780232314.920	   313.401	0	21221	0	0	Rscript run_model.R 89 2 400
90	:	1780232316.566	   313.393	0	21209	0	0	Rscript run_model.R 90 5 400
91	:	1780232602.357	   316.899	0	21221	0	0	Rscript run_model.R 91 7 400
92	:	1780232602.616	   316.648	0	21209	0	0	Rscript run_model.R 92 4 400
93	:	1780232602.761	   317.929	0	17677	0	0	Rscript run_model.R 93 4 880
94	:	1780232605.985	   320.346	0	15449	0	0	Rscript run_model.R 94 7 1040
95	:	1780232607.499	   320.787	0	15461	0	0	Rscript run_model.R 95 4 1040
96	:	1780232613.364	   318.815	0	18821	0	0	Rscript run_model.R 96 4 560
97	:	1780232615.636	   317.700	0	19141	0	0	Rscript run_model.R 97 7 720
98	:	1780232618.295	   319.008	0	19141	0	0	Rscript run_model.R 98 4 720
100	:	1780232629.968	   317.482	0	19141	0	0	Rscript run_model.R 100 2 720
99	:	1780232628.330	   323.261	0	18009	0	0	Rscript run_model.R 99 4 1200
101	:	1780232919.273	   315.703	0	19141	0	0	Rscript run_model.R 101 5 720
103	:	1780232920.701	   314.281	0	21221	0	0	Rscript run_model.R 103 3 400
102	:	1780232919.550	   320.217	0	18021	0	0	Rscript run_model.R 102 5 1200
104	:	1780232926.340	   314.991	0	21209	0	0	Rscript run_model.R 104 6 400
105	:	1780232928.296	   317.025	0	17689	0	0	Rscript run_model.R 105 6 880
107	:	1780232933.347	   316.510	0	17701	0	0	Rscript run_model.R 107 6 880
108	:	1780232937.314	   314.086	0	21221	0	0	Rscript run_model.R 108 6 400
109	:	1780232947.459	   312.462	0	21209	0	0	Rscript run_model.R 109 6 400
110	:	1780232951.601	   312.323	0	21221	0	0	Rscript run_model.R 110 3 400
106	:	1780232932.190	   339.088	0	17701	0	0	Rscript run_model.R 106 3 880
111	:	1780233234.992	   317.593	0	17701	0	0	Rscript run_model.R 111 3 880
114	:	1780233241.342	   313.338	0	21221	0	0	Rscript run_model.R 114 2 400
113	:	1780233239.777	   317.753	0	17689	0	0	Rscript run_model.R 113 2 880
115	:	1780233245.330	   315.045	0	21209	0	0	Rscript run_model.R 115 6 400
116	:	1780233249.867	   317.520	0	17701	0	0	Rscript run_model.R 116 6 880
117	:	1780233251.411	   317.280	0	17701	0	0	Rscript run_model.R 117 3 880
118	:	1780233259.932	   318.417	0	18821	0	0	Rscript run_model.R 118 6 560
112	:	1780233235.453	   344.878	0	17701	0	0	Rscript run_model.R 112 5 880
119	:	1780233263.935	   317.351	0	18809	0	0	Rscript run_model.R 119 3 560
120	:	1780233271.289	   315.671	0	15461	0	0	Rscript run_model.R 120 3 1040
121	:	1780233552.597	   316.334	0	15449	0	0	Rscript run_model.R 121 4 1040
122	:	1780233554.691	   320.276	0	15461	0	0	Rscript run_model.R 122 7 1040
123	:	1780233559.366	   317.844	0	18821	0	0	Rscript run_model.R 123 7 560
124	:	1780233560.385	   318.298	0	21221	0	0	Rscript run_model.R 124 2 400
125	:	1780233567.398	   317.171	0	21197	0	0	Rscript run_model.R 125 5 400
126	:	1780233568.702	   317.226	0	17701	0	0	Rscript run_model.R 126 5 880
128	:	1780233580.341	   315.189	0	21221	0	0	Rscript run_model.R 128 5 400
127	:	1780233578.360	   318.997	0	17701	0	0	Rscript run_model.R 127 5 880
129	:	1780233581.295	   316.069	0	21221	0	0	Rscript run_model.R 129 2 400
130	:	1780233586.970	   319.835	0	18021	0	0	Rscript run_model.R 130 2 1200
131	:	1780233868.943	   286.401	0	18009	0	0	Rscript run_model.R 131 5 1200
132	:	1780233874.976	   282.598	0	19129	0	0	Rscript run_model.R 132 5 720
