Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1778352999.111	    14.927	0	0	0	0	Rscript run_model.R 3 4 560 1.5
1	:	1778352999.107	    15.113	0	0	0	0	Rscript run_model.R 1 7 1040 1.5
2	:	1778352999.109	    15.115	0	0	0	0	Rscript run_model.R 2 7 560 1.5
5	:	1778352999.115	    15.114	0	0	0	0	Rscript run_model.R 5 2 1040 2
6	:	1778352999.116	    15.117	0	0	0	0	Rscript run_model.R 6 2 1040 0.5
7	:	1778352999.118	    15.118	0	0	0	0	Rscript run_model.R 7 5 1040 0.5
8	:	1778352999.120	    15.119	0	0	0	0	Rscript run_model.R 8 5 560 0.5
9	:	1778352999.122	    15.120	0	0	0	0	Rscript run_model.R 9 7 880 1
10	:	1778352999.124	    15.120	0	0	0	0	Rscript run_model.R 10 7 880 2.5
11	:	1778353014.252	    12.248	0	0	0	0	Rscript run_model.R 11 4 880 2.5
14	:	1778353014.757	    11.884	0	0	0	0	Rscript run_model.R 14 4 400 2
15	:	1778353014.760	    12.003	0	0	0	0	Rscript run_model.R 15 4 400 0.5
13	:	1778353014.673	    12.182	0	0	0	0	Rscript run_model.R 13 4 880 2
17	:	1778353014.840	    12.022	0	0	0	0	Rscript run_model.R 17 2 1200 2
16	:	1778353014.808	    12.074	0	0	0	0	Rscript run_model.R 16 7 400 0.5
12	:	1778353014.522	    12.378	0	0	0	0	Rscript run_model.R 12 4 400 2.5
18	:	1778353014.863	    12.041	0	0	0	0	Rscript run_model.R 18 2 1200 0.5
19	:	1778353014.878	    12.030	0	0	0	0	Rscript run_model.R 19 5 1200 0.5
20	:	1778353026.508	    12.088	0	0	0	0	Rscript run_model.R 20 5 720 0.5
22	:	1778353026.769	    12.047	0	0	0	0	Rscript run_model.R 22 7 1040 1
25	:	1778353026.900	    11.949	0	0	0	0	Rscript run_model.R 25 6 720 1
24	:	1778353026.870	    11.983	0	0	0	0	Rscript run_model.R 24 7 560 2.5
23	:	1778353026.862	    12.006	0	0	0	0	Rscript run_model.R 23 7 560 1
26	:	1778353026.922	    12.045	0	0	0	0	Rscript run_model.R 26 6 1200 1
21	:	1778353026.648	    12.528	0	0	0	0	Rscript run_model.R 21 4 1040 1
27	:	1778353026.936	    12.243	0	0	0	0	Rscript run_model.R 27 3 1200 1
28	:	1778353026.949	    12.233	0	0	0	0	Rscript run_model.R 28 3 1200 2.5
32	:	1778353038.869	    11.867	0	0	0	0	Rscript run_model.R 32 6 560 0.5
29	:	1778353038.602	    12.137	0	0	0	0	Rscript run_model.R 29 3 1040 2
30	:	1778353038.822	    11.920	0	0	0	0	Rscript run_model.R 30 6 1040 2
31	:	1778353038.858	    11.885	0	0	0	0	Rscript run_model.R 31 6 1040 0.5
33	:	1778353038.875	    11.871	0	0	0	0	Rscript run_model.R 33 6 1200 3
34	:	1778353038.973	    11.845	0	0	0	0	Rscript run_model.R 34 3 1200 3
36	:	1778353039.193	    11.947	0	0	0	0	Rscript run_model.R 36 3 720 1.5
35	:	1778353039.187	    11.970	0	0	0	0	Rscript run_model.R 35 3 1200 1.5
37	:	1778353039.198	    11.963	0	0	0	0	Rscript run_model.R 37 6 1200 3
41	:	1778353050.867	    11.852	0	0	0	0	Rscript run_model.R 41 2 1040 1.5
38	:	1778353050.750	    12.115	0	0	0	0	Rscript run_model.R 38 6 1200 1.5
40	:	1778353050.827	    12.042	0	0	0	0	Rscript run_model.R 40 3 720 1.5
39	:	1778353050.818	    12.099	0	0	0	0	Rscript run_model.R 39 6 720 1.5
42	:	1778353050.891	    12.063	0	0	0	0	Rscript run_model.R 42 2 1040 3
43	:	1778353050.906	    12.067	0	0	0	0	Rscript run_model.R 43 5 1040 3
46	:	1778353051.193	    11.928	0	0	0	0	Rscript run_model.R 46 6 1200 1
44	:	1778353051.158	    12.042	0	0	0	0	Rscript run_model.R 44 5 560 3
45	:	1778353051.176	    12.034	0	0	0	0	Rscript run_model.R 45 3 1200 1
47	:	1778353062.725	    12.184	0	0	0	0	Rscript run_model.R 47 6 1200 2.5
51	:	1778353062.960	    11.951	0	0	0	0	Rscript run_model.R 51 4 1040 2
49	:	1778353062.918	    11.996	0	0	0	0	Rscript run_model.R 49 7 1040 0.5
48	:	1778353062.875	    12.056	0	0	0	0	Rscript run_model.R 48 6 720 2.5
50	:	1778353062.925	    12.009	0	0	0	0	Rscript run_model.R 50 7 1040 2
52	:	1778353062.980	    11.957	0	0	0	0	Rscript run_model.R 52 4 560 2
53	:	1778353063.128	    11.997	0	0	0	0	Rscript run_model.R 53 5 560 2
54	:	1778353063.211	    11.936	0	0	0	0	Rscript run_model.R 54 2 560 2
55	:	1778353063.218	    11.935	0	0	0	0	Rscript run_model.R 55 2 1040 2
57	:	1778353074.931	    17.914	0	0	0	0	Rscript run_model.R 57 6 880 2
63	:	1778353075.153	    17.733	0	0	0	0	Rscript run_model.R 63 5 720 1.5
56	:	1778353074.922	    17.969	0	0	0	0	Rscript run_model.R 56 2 1040 0.5
59	:	1778353074.983	    17.911	0	0	0	0	Rscript run_model.R 59 3 400 2
60	:	1778353075.126	    17.771	0	0	0	0	Rscript run_model.R 60 3 400 0.5
58	:	1778353074.942	    17.994	0	0	0	0	Rscript run_model.R 58 3 880 2
62	:	1778353075.140	    17.799	0	0	0	0	Rscript run_model.R 62 2 720 1.5
61	:	1778353075.132	    17.987	0	0	0	0	Rscript run_model.R 61 2 1200 1.5
64	:	1778353075.158	    17.964	0	0	0	0	Rscript run_model.R 64 5 720 3
65	:	1778353092.851	    12.312	0	0	0	0	Rscript run_model.R 65 7 1200 2.5
67	:	1778353092.932	    12.233	0	0	0	0	Rscript run_model.R 67 7 720 1
68	:	1778353092.936	    12.232	0	0	0	0	Rscript run_model.R 68 4 720 1
72	:	1778353093.129	    12.044	0	0	0	0	Rscript run_model.R 72 4 1200 3
73	:	1778353093.135	    12.041	0	0	0	0	Rscript run_model.R 73 4 1200 1
