total_area,total_averaged_temperature,morris_row_index,identifier,Class
130.26163601478683,18.77805419725853,1,18,NT
113.32252848126554,20.606662530871063,1,19,T
714.6741998283524,19.555543537644052,1,20,T
714.6741998283524,19.555543537644052,1,21,T
5575.470648651888,19.647262573242188,1,22,T
252.56551127072714,18.980340153180435,10,18,NT
70.39301430181982,20.543453653593247,10,19,T
1039.5332944763852,20.76896368607997,10,20,T
1039.5332944763852,20.76896368607997,10,21,T
658.2155355012912,17.749969482421875,10,22,T
810.7568498422613,19.585285186767578,10,23,T
252.56551126915326,18.98034015318042,100,18,NT
70.39301430181763,20.54345365359298,100,19,T
1039.5332944744405,20.768963686078727,100,20,T
1039.5332944744405,20.768963686078727,100,21,T
672.0937841096811,17.76752281188965,100,22,T
252.56551126903364,18.980340153180418,101,18,NT
70.39301430181763,20.54345365359298,101,19,T
1039.5332944741267,20.768963686078532,101,20,T
1039.5332944741267,20.768963686078532,101,21,T
672.0937841103427,17.76752281188965,101,22,T
57.724342850844835,18.453610468956125,102,18,NT
88.22422753613704,20.55235240274087,102,19,T
3637.9984287115262,20.48251724243164,102,20,T
3637.9984287115262,20.48251724243164,102,21,T
5559.146718313266,19.639619827270508,102,22,T
57.724342846716496,18.45361046894693,103,18,NT
88.22422753570066,20.552352402740414,103,19,T
684.6820667717211,17.784666061401367,103,22,T
810.7568498349652,19.585285186767578,103,23,T
57.72434285070716,18.453610468957173,104,18,NT
88.22422753570066,20.552352402740414,104,19,T
684.6820667712211,17.784666061401367,104,22,T
810.7568498193596,19.585285186767578,104,23,T
130.26163601478683,18.77805419725853,105,18,NT
113.32252848126554,20.606662530871063,105,19,T
715.017919847216,19.5556801819595,105,20,T
715.017919847216,19.5556801819595,105,21,T
5575.470648651888,19.647262573242188,105,22,T
130.26163601478683,18.77805419725853,106,18,NT
113.32252848126554,20.606662530871063,106,19,T
715.017919847216,19.5556801819595,106,20,T
715.017919847216,19.5556801819595,106,21,T
5575.470648651888,19.647262573242188,106,22,T
130.26163601478683,18.77805419725853,107,18,NT
113.32252848126554,20.606662530871063,107,19,T
715.017919847216,19.5556801819595,107,20,T
715.017919847216,19.5556801819595,107,21,T
5575.470648651888,19.647262573242188,107,22,T
57.72434285070716,18.453610468957173,108,18,NT
88.22422753570066,20.552352402740414,108,19,T
684.6820667712211,17.784666061401367,108,22,T
810.7568498193596,19.585285186767578,108,23,T
57.72434285070716,18.453610468957173,109,18,NT
88.22422753570066,20.552352402740414,109,19,T
684.6820667712211,17.784666061401367,109,22,T
810.7568498193596,19.585285186767578,109,23,T
57.724342850844835,18.453610468956125,11,18,NT
88.22422753613704,20.55235240274087,11,19,T
3637.9984287115262,20.48251724243164,11,20,T
3637.9984287115262,20.48251724243164,11,21,T
5559.146718313266,19.639619827270508,11,22,T
57.724342846716496,18.45361046894693,110,18,NT
88.22422753570066,20.552352402740414,110,19,T
684.6820667717211,17.784666061401367,110,22,T
810.7568498349652,19.585285186767578,110,23,T
130.26163601478683,18.77805419725853,111,18,NT
113.32252848126554,20.606662530871063,111,19,T
715.017919847216,19.5556801819595,111,20,T
715.017919847216,19.5556801819595,111,21,T
5575.470648651888,19.647262573242188,111,22,T
130.26163601478683,18.77805419725853,112,18,NT
113.32252848126554,20.606662530871063,112,19,T
715.017919847216,19.5556801819595,112,20,T
715.017919847216,19.5556801819595,112,21,T
5575.470648651888,19.647262573242188,112,22,T
130.26163601478683,18.77805419725853,113,18,NT
113.32252848126554,20.606662530871063,113,19,T
715.017919847216,19.5556801819595,113,20,T
715.017919847216,19.5556801819595,113,21,T
5575.470648651888,19.647262573242188,113,22,T
82.30540153123223,18.592465077596284,114,18,NT
88.22422753570066,20.552352402740414,114,19,T
684.6820667717211,17.784666061401367,114,22,T
810.7568498280364,19.585285186767578,114,23,T
57.72434285070716,18.453610468957173,115,18,NT
88.22422753570066,20.552352402740414,115,19,T
684.6820667712211,17.784666061401367,115,22,T
810.7568498193596,19.585285186767578,115,23,T
130.26163601478683,18.77805419725853,116,18,NT
113.32252848126554,20.606662530871063,116,19,T
715.017919847216,19.5556801819595,116,20,T
715.017919847216,19.5556801819595,116,21,T
5575.470648651888,19.647262573242188,116,22,T
130.26163601478683,18.77805419725853,117,18,NT
113.32252848126554,20.606662530871063,117,19,T
715.017919847216,19.5556801819595,117,20,T
715.017919847216,19.5556801819595,117,21,T
5575.470648651888,19.647262573242188,117,22,T
82.30540153504151,18.59246507760089,118,18,NT
81.78003194711394,20.550640106591246,118,19,T
3850.6412751191524,19.678470611572266,118,22,T
3595.7997818361932,19.68468817325307,118,23,T
82.30540153504151,18.59246507760089,119,18,NT
81.78003194711394,20.550640106591246,119,19,T
3850.641275178133,19.678470611572266,119,22,T
3595.7997818353815,19.68468817325307,119,23,T
57.72434285043124,18.453610468956466,12,18,NT
88.22422753613704,20.55235240274087,12,19,T
3637.9984287073603,20.48251724243164,12,20,T
3637.9984287073603,20.48251724243164,12,21,T
5559.146718343069,19.639619827270508,12,22,T
130.26163601423968,18.77805419725851,120,18,NT
88.22422753613704,20.55235240274087,120,19,T
2863.4492847547226,20.24560176548851,120,20,T
2863.4492847547226,20.24560176548851,120,21,T
672.0937841096811,17.76752281188965,120,22,T
130.26163601423968,18.77805419725851,121,18,NT
88.22422753613704,20.55235240274087,121,19,T
2863.4492847547226,20.24560176548851,121,20,T
2863.4492847547226,20.24560176548851,121,21,T
672.0937841096811,17.76752281188965,121,22,T
130.26163601423968,18.77805419725851,122,18,NT
88.22422753613704,20.55235240274087,122,19,T
2863.4492847547226,20.24560176548851,122,20,T
2863.4492847547226,20.24560176548851,122,21,T
672.0937841096811,17.76752281188965,122,22,T
82.30540153504151,18.59246507760089,123,18,NT
81.78003194711394,20.550640106591246,123,19,T
3850.6412751191524,19.678470611572266,123,22,T
3595.7997818361932,19.68468817325307,123,23,T
82.30540153123223,18.592465077596284,124,18,NT
88.22422753570066,20.552352402740414,124,19,T
684.6820667717211,17.784666061401367,124,22,T
810.7568498280364,19.585285186767578,124,23,T
57.72434285070716,18.453610468957173,125,18,NT
88.22422753570066,20.552352402740414,125,19,T
684.6820667712211,17.784666061401367,125,22,T
810.7568498193596,19.585285186767578,125,23,T
130.26163601478683,18.77805419725853,126,18,NT
113.32252848126554,20.606662530871063,126,19,T
715.017919847216,19.5556801819595,126,20,T
715.017919847216,19.5556801819595,126,21,T
5575.470648651888,19.647262573242188,126,22,T
130.26163601478683,18.77805419725853,127,18,NT
113.32252848126554,20.606662530871063,127,19,T
715.017919847216,19.5556801819595,127,20,T
715.017919847216,19.5556801819595,127,21,T
5575.470648651888,19.647262573242188,127,22,T
57.72434285070716,18.453610468957173,128,18,NT
88.22422753570066,20.552352402740414,128,19,T
684.6820667712211,17.784666061401367,128,22,T
810.7568498193596,19.585285186767578,128,23,T
82.30540153123223,18.592465077596284,129,18,NT
88.22422753570066,20.552352402740414,129,19,T
684.6820667717211,17.784666061401367,129,22,T
810.7568498280364,19.585285186767578,129,23,T
252.56551126915326,18.98034015318042,13,18,NT
70.39301430261965,20.543453653594433,13,19,T
1039.5332944744405,20.768963686078727,13,20,T
1039.5332944744405,20.768963686078727,13,21,T
672.0937841103427,17.76752281188965,13,22,T
57.72434284670595,18.453610468936972,130,18,NT
88.22422753613704,20.55235240274087,130,19,T
3179.74679783707,20.423189163208008,130,20,T
3179.74679783707,20.423189163208008,130,21,T
5559.146718344169,19.639619827270508,130,22,T
57.724342850844835,18.453610468956125,131,18,NT
88.22422753613704,20.55235240274087,131,19,T
3637.9984287115262,20.48251724243164,131,20,T
3637.9984287115262,20.48251724243164,131,21,T
5559.146718313266,19.639619827270508,131,22,T
252.56551126903364,18.980340153180418,132,18,NT
70.39301430181763,20.54345365359298,132,19,T
1039.5332944741267,20.768963686078532,132,20,T
1039.5332944741267,20.768963686078532,132,21,T
672.0937841103427,17.76752281188965,132,22,T
57.72434285043124,18.453610468956466,14,18,NT
88.22422753613704,20.55235240274087,14,19,T
3637.9984287073603,20.48251724243164,14,20,T
3637.9984287073603,20.48251724243164,14,21,T
5559.146718343069,19.639619827270508,14,22,T
57.724342850844835,18.453610468956125,15,18,NT
88.22422753613704,20.55235240274087,15,19,T
3637.9984287115262,20.48251724243164,15,20,T
3637.9984287115262,20.48251724243164,15,21,T
5559.146718313266,19.639619827270508,15,22,T
57.72434285043124,18.453610468956466,16,18,NT
88.22422753613704,20.55235240274087,16,19,T
3637.9984287073603,20.48251724243164,16,20,T
3637.9984287073603,20.48251724243164,16,21,T
5559.146718343069,19.639619827270508,16,22,T
57.724342850844835,18.453610468956125,17,18,NT
88.22422753613704,20.55235240274087,17,19,T
3637.9984287115262,20.48251724243164,17,20,T
3637.9984287115262,20.48251724243164,17,21,T
5559.146718313266,19.639619827270508,17,22,T
252.56551127072714,18.980340153180435,18,18,NT
70.39301430181982,20.543453653593247,18,19,T
1039.5332944763852,20.76896368607997,18,20,T
1039.5332944763852,20.76896368607997,18,21,T
658.2155355012912,17.749969482421875,18,22,T
810.7568498422613,19.585285186767578,18,23,T
82.30540153504151,18.59246507760089,19,18,NT
81.78003194711394,20.550640106591246,19,19,T
3850.641275178133,19.678470611572266,19,22,T
3595.7997818353815,19.68468817325307,19,23,T
130.26163601478683,18.77805419725853,2,18,NT
113.32252848126554,20.606662530871063,2,19,T
715.017919847216,19.5556801819595,2,20,T
715.017919847216,19.5556801819595,2,21,T
5575.470648651888,19.647262573242188,2,22,T
82.30540153504151,18.59246507760089,20,18,NT
81.78003194711394,20.550640106591246,20,19,T
3850.641275178133,19.678470611572266,20,22,T
3595.7997818353815,19.68468817325307,20,23,T
130.26163601423968,18.77805419725851,21,18,NT
88.22422753613704,20.55235240274087,21,19,T
2863.4492847547226,20.24560176548851,21,20,T
2863.4492847547226,20.24560176548851,21,21,T
672.0937841096811,17.76752281188965,21,22,T
130.26163601423968,18.77805419725851,22,18,NT
88.22422753613704,20.55235240274087,22,19,T
2863.4492847547226,20.24560176548851,22,20,T
2863.4492847547226,20.24560176548851,22,21,T
672.0937841096811,17.76752281188965,22,22,T
82.30540153504151,18.59246507760089,23,18,NT
81.78003194711394,20.550640106591246,23,19,T
3850.641275178133,19.678470611572266,23,22,T
3595.7997818353815,19.68468817325307,23,23,T
82.30540153504151,18.59246507760089,24,18,NT
81.78003194711394,20.550640106591246,24,19,T
3850.641275178133,19.678470611572266,24,22,T
3595.7997818353815,19.68468817325307,24,23,T
130.26163601423968,18.77805419725851,25,18,NT
88.22422753613704,20.55235240274087,25,19,T
2863.4492847547226,20.24560176548851,25,20,T
2863.4492847547226,20.24560176548851,25,21,T
672.0937841096811,17.76752281188965,25,22,T
82.30540153504151,18.59246507760089,26,18,NT
81.78003194711394,20.550640106591246,26,19,T
3850.641275178133,19.678470611572266,26,22,T
3595.7997818353815,19.68468817325307,26,23,T
82.30540153504151,18.59246507760089,27,18,NT
81.78003194711394,20.550640106591246,27,19,T
3850.641275178133,19.678470611572266,27,22,T
3595.7997818353815,19.68468817325307,27,23,T
130.26163601478683,18.77805419725853,28,18,NT
113.32252848126554,20.606662530871063,28,19,T
715.017919847216,19.5556801819595,28,20,T
715.017919847216,19.5556801819595,28,21,T
5575.470648651888,19.647262573242188,28,22,T
130.26163601478683,18.77805419725853,29,18,NT
113.32252848126554,20.606662530871063,29,19,T
715.017919847216,19.5556801819595,29,20,T
715.017919847216,19.5556801819595,29,21,T
5575.470648651888,19.647262573242188,29,22,T
57.72434285070716,18.453610468957173,3,18,NT
88.22422753570066,20.552352402740414,3,19,T
684.6820667712211,17.784666061401367,3,22,T
810.7568498193596,19.585285186767578,3,23,T
57.724342846716496,18.45361046894693,30,18,NT
88.22422753570066,20.552352402740414,30,19,T
684.6820667717211,17.784666061401367,30,22,T
810.7568498349652,19.585285186767578,30,23,T
130.26163601478683,18.77805419725853,31,18,NT
113.32252848126554,20.606662530871063,31,19,T
715.017919847216,19.5556801819595,31,20,T
715.017919847216,19.5556801819595,31,21,T
5575.470648651888,19.647262573242188,31,22,T
130.26163601478683,18.77805419725853,32,18,NT
113.32252848126554,20.606662530871063,32,19,T
715.017919847216,19.5556801819595,32,20,T
715.017919847216,19.5556801819595,32,21,T
5575.470648651888,19.647262573242188,32,22,T
57.72434285070716,18.453610468957173,33,18,NT
88.22422753570066,20.552352402740414,33,19,T
